source_cell_index,target_group,target_genes,source_cell_type,source_time_used
4551,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4811,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4543,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4363,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
5110,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4654,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4633,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
5135,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4194,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4318,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4300,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4544,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4852,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4594,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4939,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4590,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4747,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4452,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4956,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4661,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
5044,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4735,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4296,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4725,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4562,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
5083,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4428,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4817,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
5000,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4969,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4773,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4313,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
5124,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
5059,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4225,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
5056,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4248,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4816,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4708,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4458,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
4838,mge_erbb4,ERBB4,IN-MGE__IN-CGE__dual_high,4.0
