trajectory_index,source_cell_index,source_time,source_cell_type,predicted_label,max_prob,time_used,primary_domain,secondary_domain,prob__EryP,prob__HSC,prob__MasP,prob__MkP,prob__MoP,prob__NeuP,target_group,target_genes,z_score,time_requested,cell_type_requested,cell_type_used,label_rule,selection_source
7449,7449,0.0,MkP,MkP,0.9999995173365724,3.0,1,2,2.0269673467083005e-07,2.799620980621549e-07,2.896958341349859e-14,0.9999995173365724,2.2294184757782416e-12,2.3364745250278905e-12,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
6316,6316,0.0,EryP,MkP,0.9999992505325638,3.0,1,2,4.455228579493893e-07,3.039164486133018e-07,1.2426832507197374e-12,0.9999992505325638,1.0047226753530756e-11,1.6839623927220168e-11,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
1190,1190,0.0,EryP,MkP,0.9999986874745098,3.0,1,2,1.2101066628887166e-06,1.0209018190762957e-07,3.2663453048579164e-11,0.9999986874745098,2.49215384264519e-10,4.676642862825141e-11,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
4082,4082,0.0,EryP,MkP,0.9999982343513274,3.0,1,2,1.36380337428885e-06,4.017607163081008e-07,9.106163442067508e-12,0.9999982343513274,2.4282901837372903e-11,5.1192966512082055e-11,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
6075,6075,0.0,MkP,MkP,0.9999980447896092,3.0,1,2,3.387611357059936e-07,1.6164424662375874e-06,2.399458708630865e-12,0.9999980447896092,2.3254714317813387e-12,2.0638151962110504e-12,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
8081,8081,0.0,EryP,MkP,0.9999979739480412,3.0,1,2,1.631212408589055e-06,3.9196882102175603e-07,1.2138439275575005e-12,0.9999979739480412,2.0996539104058782e-09,7.698614709158442e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
3532,3532,0.0,MkP,MkP,0.9999979528322314,3.0,1,2,1.6180070380438703e-06,4.258457229505426e-07,1.1066852987177231e-11,0.9999979528322314,3.007028648082105e-09,2.969120576312568e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
7321,7321,0.0,EryP,MkP,0.9999968677165918,3.0,1,2,1.994918469529563e-06,1.1369583487707186e-06,9.478556610251518e-14,0.9999968677165918,2.638443670591312e-10,1.4265075954034627e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
4152,4152,0.0,EryP,MkP,0.9999968380384984,3.0,1,2,1.3331327856920998e-06,1.8006886160693622e-06,2.7459507774348527e-11,0.9999968380384984,2.523751640970596e-08,2.875123838954423e-09,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
5146,5146,0.0,EryP,MkP,0.9999967813674184,3.0,1,2,1.9683070920744654e-06,1.2490403576998156e-06,5.834735032899365e-12,0.9999967813674184,7.038906323737391e-10,5.754064782486911e-10,Mk_union,ITGA2B|GP1BA|PF4|PPBP,4.0,3.0,MkP,MkP,endpoint,endpoint_catalog
